IVI_ATTR_SPECIFIC_DRIVER_LOCATOR,1050303,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_IO_RESOURCE_DESCRIPTOR,1050304,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_LOGICAL_NAME,1050305,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_VISA_RM_SESSION,1050321,ViSession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_SYSTEM_IO_SESSION,1050322,ViSession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_IO_SESSION_TYPE,1050324,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_SYSTEM_IO_TIMEOUT,1050325,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_SUPPORTED_INSTRUMENT_MODELS,1050327,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_GROUP_CAPABILITIES,1050401,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_FUNCTION_CAPABILITIES,1050402,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_ENGINE_MAJOR_VERSION,1050501,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_ENGINE_MINOR_VERSION,1050502,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_SPECIFIC_DRIVER_MAJOR_VERSION,1050503,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_SPECIFIC_DRIVER_MINOR_VERSION,1050504,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_CLASS_DRIVER_MAJOR_VERSION,1050505,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_CLASS_DRIVER_MINOR_VERSION,1050506,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_INSTRUMENT_FIRMWARE_REVISION,1050510,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_INSTRUMENT_MANUFACTURER,1050511,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_INSTRUMENT_MODEL,1050512,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_SPECIFIC_DRIVER_VENDOR,1050513,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_SPECIFIC_DRIVER_DESCRIPTION,1050514,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_SPECIFIC_DRIVER_CLASS_SPEC_MAJOR_VERSION,1050515,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_SPECIFIC_DRIVER_CLASS_SPEC_MINOR_VERSION,1050516,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_CLASS_DRIVER_VENDOR,1050517,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_CLASS_DRIVER_DESCRIPTION,1050518,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_CLASS_DRIVER_CLASS_SPEC_MAJOR_VERSION,1050519,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_CLASS_DRIVER_CLASS_SPEC_MINOR_VERSION,1050520,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_SPECIFIC_DRIVER_REVISION,1050551,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_CLASS_DRIVER_REVISION,1050552,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_ENGINE_REVISION,1050553,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_OPC_CALLBACK,1050602,ViAddr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_CHECK_STATUS_CALLBACK,1050603,ViAddr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_USER_INTERCHANGE_CHECK_CALLBACK,1050801,ViAddr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_DEFER_UPDATE,1050051,ViBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_RETURN_DEFERRED_VALUES,1050052,ViBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_BUFFERED_IO_CALLBACK,1050601,ViAddr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_SUPPORTS_WR_BUF_OPER_MODE,1050704,ViBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_UPDATING_VALUES,1050708,ViBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_VAL_CHECK_READ_ONLY_ATTR_NEVER_SET,2,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_CLASS_PREFIX,1050301,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_SPECIFIC_PREFIX,1050302,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_MODULE_PATHNAME,1050303,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_DRIVER_MAJOR_VERSION,1050503,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_DRIVER_MINOR_VERSION,1050504,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_CLASS_MAJOR_VERSION,1050505,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_CLASS_MINOR_VERSION,1050506,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_DRIVER_REVISION,1050551,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_CLASS_REVISION,1050552,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_FIRMWARE_REVISION,1050510,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_SUPPORTED_CLASSES,1050323,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_NUM_CHANNELS,1050203,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_QUERY_INSTR_STATUS,1050003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_RESOURCE_DESCRIPTOR,1050304,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_IO_SESSION,1050322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVI_ATTR_ATTRIBUTE_CAPABILITIES,1050403,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_CACHE,1050004,ViBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_RANGE_CHECK,1050002,ViBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_QUERY_INSTRUMENT_STATUS,1050003,ViBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_RECORD_COERCIONS,1050006,ViBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_SIMULATE,1050005,ViBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_INTERCHANGE_CHECK,1050021,ViBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_SPY,1050022,ViBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_USE_SPECIFIC_SIMULATION,1050023,ViBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_CHANNEL_COUNT,1050203,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_GROUP_CAPABILITIES,1050401,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_FUNCTION_CAPABILITIES,1050402,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_CLASS_DRIVER_PREFIX,1050301,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_CLASS_DRIVER_VENDOR,1050517,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_CLASS_DRIVER_DESCRIPTION,1050518,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_CLASS_DRIVER_CLASS_SPEC_MAJOR_VERSION,1050519,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_CLASS_DRIVER_CLASS_SPEC_MINOR_VERSION,1050520,ViInt32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_SPECIFIC_DRIVER_PREFIX,1050302,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIRFSIGGEN_ATTR_SPECIFIC_DRIVER_LOCATOR,1050303,ViString,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
